ir_raw,ir_ac,red_raw,bpm
63889.0,72.6,78282.0,0.0
63897.0,77.4,78293.0,0.0
63908.0,84.8,78316.0,0.0
63916.0,89.1,78322.0,0.0
63887.0,57.7,78292.0,0.0
63786.0,-41.6,78140.0,0.0
63724.0,-99.4,78021.0,0.0
63724.0,-95.4,78025.0,0.0
63746.0,-70.5,78046.0,0.0
63759.0,-55.2,78068.0,0.0
63788.0,-25.2,78109.0,0.0
63798.0,-14.6,78131.0,0.0
63800.0,-12.1,78147.0,0.0
63796.0,-15.4,78144.0,0.0
63807.0,-4.2,78156.0,0.0
63828.0,16.1,78193.0,0.0
63842.0,28.9,78212.0,0.0
63855.0,40.2,78234.0,0.0
63876.0,58.8,78274.0,0.0
63884.0,64.1,78281.0,0.0
63891.0,68.2,78293.0,0.0
63887.0,61.7,78296.0,0.0
63895.0,66.9,78314.0,0.0
63917.0,85.3,78340.0,0.0
63906.0,71.4,78328.0,0.0
63834.0,-0.6,78241.0,0.0
63760.0,-71.6,78117.0,0.0
63731.0,-96.6,78068.0,0.0
63744.0,-80.3,78087.0,0.0
63772.0,-50.2,78128.0,0.0
63795.0,-26.1,78159.0,0.0
63814.0,-6.8,78195.0,0.0
63813.0,-7.5,78203.0,0.0
63798.0,-21.6,78186.0,0.0
63814.0,-5.4,78201.0,0.0
63833.0,13.1,78240.0,0.0
63850.0,28.9,78254.0,0.0
63859.0,36.4,78271.0,0.0
63875.0,50.3,78297.0,0.0
63892.0,64.6,78329.0,0.0
63902.0,71.6,78346.0,0.0
63903.0,69.7,78355.0,0.0
63911.0,74.6,78371.0,0.0
63921.0,81.2,78387.0,0.0
63929.0,85.6,78401.0,0.0
63865.0,20.8,78313.0,0.0
63764.0,-77.0,78162.0,0.0
63740.0,-97.0,78104.0,0.0
63759.0,-74.9,78134.0,0.0
63765.0,-66.1,78146.0,0.0
63802.0,-27.9,78170.0,0.0
63828.0,-1.9,78185.0,0.0
63830.0,0.1,78206.0,0.0
63818.0,-11.4,78210.0,0.0
63803.0,-25.3,78209.0,0.0
63813.0,-14.7,78227.0,0.0
63803.0,-23.7,78177.0,0.0
63802.0,-23.7,78142.0,0.0
63818.0,-7.4,78172.0,0.0
63824.0,-1.4,78195.0,0.0
63812.0,-12.8,78191.0,0.0
63816.0,-8.5,78194.0,0.0
63830.0,5.3,78223.0,0.0
63858.0,32.0,78267.0,0.0
63832.0,5.7,78245.0,0.0
63741.0,-81.9,78112.0,0.0
63688.0,-129.5,78013.0,0.0
63685.0,-127.2,77984.0,0.0
63719.0,-89.4,78024.0,0.0
63755.0,-51.3,78079.0,0.0
63770.0,-34.9,78107.0,0.0
63761.0,-42.1,78108.0,0.0
63770.0,-31.8,78119.0,0.0
63758.0,-42.0,78106.0,0.0
63762.0,-36.5,78109.0,0.0
63783.0,-14.9,78111.0,0.0
63796.0,-1.8,78121.0,0.0
63806.0,7.9,78135.0,0.0
63824.0,24.8,78151.0,0.0
63826.0,25.8,78166.0,0.0
63821.0,19.9,78183.0,0.0
63837.0,34.5,78204.0,0.0
63824.0,20.6,78197.0,0.0
63754.0,-47.4,78103.0,0.0
63675.0,-121.3,77957.0,0.0
63643.0,-147.2,77877.0,0.0
63689.0,-97.2,77955.0,0.0
63717.0,-66.4,78005.0,0.0
63736.0,-45.5,78045.0,0.0
63747.0,-33.1,78033.0,0.0
63724.0,-53.9,78011.0,0.0
63718.0,-57.5,78009.0,0.0
63725.0,-48.5,78022.0,0.0
63753.0,-19.6,78056.0,0.0
63790.0,16.7,78152.0,0.0
63820.0,44.8,78233.0,0.0
63868.0,89.1,78326.0,0.0
63908.0,123.9,78422.0,0.0
63917.0,127.6,78455.0,0.0
63900.0,106.2,78437.0,0.0
63921.0,122.1,78476.0,0.0
63888.0,85.5,78454.0,0.0
63777.0,-24.5,78293.0,0.0
63736.0,-62.8,78210.0,0.0
63726.0,-69.9,78179.0,0.0
63763.0,-31.6,78236.0,0.0
63790.0,-4.4,78270.0,0.0
63811.0,15.9,78289.0,0.0
63811.0,15.3,78295.0,0.0
63791.0,-4.5,78256.0,0.0
63788.0,-7.2,78245.0,0.0
63791.0,-4.1,78258.0,0.0
63820.0,23.9,78314.0,0.0
63832.0,34.5,78336.0,0.0
63845.0,45.6,78366.0,0.0
63865.0,63.0,78386.0,0.0
63873.0,68.1,78406.0,0.0
63887.0,78.9,78443.0,0.0
63897.0,85.3,78471.0,0.0
63901.0,85.7,78478.0,0.0
63815.0,-0.3,78353.0,0.0
63727.0,-84.7,78199.0,0.0
63715.0,-92.9,78143.0,0.0
63745.0,-60.3,78191.0,0.0
63773.0,-31.0,78245.0,0.0
63810.0,5.7,78294.0,0.0
63828.0,22.8,78324.0,0.0
63847.0,40.1,78396.0,0.0
63856.0,47.1,78430.0,0.0
63871.0,59.6,78468.0,0.0
63884.0,69.7,78472.0,0.0
63881.0,64.1,78442.0,0.0
63880.0,60.5,78425.0,0.0
63887.0,64.8,78432.0,0.0
63904.0,78.6,78471.0,0.0
63924.0,94.6,78500.0,0.0
63926.0,92.8,78497.0,0.0
63942.0,104.4,78543.0,0.0
63965.0,122.3,78587.0,0.0
63931.0,84.8,78543.0,0.0
63834.0,-11.7,78386.0,0.0
63785.0,-58.3,78293.0,0.0
63786.0,-55.0,78282.0,0.0
63815.0,-25.0,78301.0,0.0
63852.0,11.6,78358.0,0.0
63874.0,32.2,78382.0,0.0
63877.0,33.8,78378.0,0.0
63871.0,26.7,78372.0,0.0
63875.0,29.5,78354.0,0.0
63908.0,60.0,78397.0,0.0
63909.0,58.5,78403.0,0.0
63909.0,56.2,78409.0,0.0
63936.0,79.9,78476.0,0.0
63950.0,90.1,78510.0,0.0
63970.0,105.7,78548.0,0.0
63972.0,103.4,78570.0,0.0
63976.0,103.1,78564.0,0.0
63985.0,107.6,78587.0,0.0
63966.0,85.1,78570.0,0.0
63887.0,5.8,78424.0,0.0
63840.0,-39.5,78309.0,0.0
63837.0,-40.8,78284.0,0.0
63859.0,-18.1,78334.0,0.0
63867.0,-9.7,78373.0,0.0
63892.0,14.7,78413.0,0.0
63899.0,20.8,78441.0,0.0
63888.0,9.5,78440.0,0.0
63890.0,11.0,78448.0,0.0
63899.0,19.2,78460.0,0.0
63916.0,34.7,78487.0,0.0
63938.0,54.5,78521.0,0.0
63943.0,57.1,78539.0,0.0
63965.0,75.9,78580.0,0.0
63975.0,82.5,78611.0,0.0
63974.0,78.2,78608.0,0.0
63984.0,84.7,78624.0,0.0
63946.0,44.8,78578.0,0.0
63874.0,-26.1,78440.0,0.0
63822.0,-75.0,78335.0,0.0
63811.0,-82.5,78319.0,0.0
63837.0,-54.3,78364.0,0.0
63851.0,-38.6,78396.0,0.0
63872.0,-16.9,78428.0,0.0
63880.0,-8.6,78445.0,0.0
63882.0,-6.3,78460.0,0.0
63878.0,-9.9,78471.0,0.0
63890.0,2.0,78484.0,0.0
63900.0,11.5,78500.0,0.0
63904.0,14.9,78503.0,0.0
63916.0,25.8,78507.0,0.0
63927.0,35.4,78525.0,0.0
63940.0,46.4,78545.0,0.0
63944.0,48.4,78555.0,0.0
63926.0,29.2,78532.0,0.0
63860.0,-35.3,78424.0,0.0
63792.0,-99.2,78301.0,0.0
63778.0,-108.7,78279.0,0.0
63801.0,-82.2,78320.0,0.0
63817.0,-63.6,78364.0,0.0
